TOWNAME,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,POINT_X,POINT_Y,lon,lat
Abuontem,YES,SHEP,2435,2800.25,Mampong Municipal,Ashanti,NA,No,2014,NA,677310.0379,791039.0371,7.153606497,-1.394346999
Abuoso,YES,NA,1514,1741.1,Amansie West,Ashanti,NA,No,NA,NA,598588.1762,697880.4257,6.312924299,-2.1086791
Abuoso(Apinkra),YES,NA,908,1044.2,Bekwai Municipal,Ashanti,NA,No,NA,NA,661329.2825,721257.6241,6.523050099,-1.540945199
Aburaso,YES,NA,5320,6118,Atwima Kwanwoma,Ashanti,NA,No,NA,NA,646619.6106,736504.1792,6.661302399,-1.6735869
Aburaso,YES,NA,2544,2925.6,Ahafo Ano South,Ashanti,NA,No,NA,NA,621124.9837,766436.2119,6.932584398,-1.903582299
Aburokyire,YES,NA,812,933.8,Atwima Mponua,Ashanti,NA,No,NA,NA,616906.6113,741373.5121,6.705991899,-1.942259599
Aburokyire,YES,NA,818,940.7,Offinso South Municipal,Ashanti,NA,No,NA,NA,642000.11,782072.3608,7.073518898,-1.714264399
Acheasewa,YES,CWE,303,348.45,Adansi South,Ashanti,NA,No,2017,NA,691354.2833,652593.9908,5.901327899,-1.271504998
Achiase,YES,NA,3611,4152.65,Atwima Nwabiagya,Ashanti,NA,No,NA,NA,646017.6391,750163.9994,6.784851598,-1.678698099
Achiase,YES,NA,157,180.55,Adansi North,Ashanti,NA,No,NA,NA,646951.4181,696332.9949,6.297997898,-1.671536599
Achiase,YES,NA,4790,5508.5,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,686961.6707,713993.879,6.456645999,-1.309409998
Achina (Akyena),YES,NA,995,1144.25,Ahafo Ano North,Ashanti,NA,No,NA,NA,577336.1768,760495.2433,6.879595999,-2.3000097
Achinakrom,YES,NA,3549,4081.35,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,669115.4041,736392.5894,6.659704999,-1.470125
Adaase (Adasi),YES,NA,1086,1248.9,Obuasi Municipal,Ashanti,NA,No,NA,NA,643827.6017,690491.0801,6.245235398,-1.699902299
Adadekrom,YES,SHEP-4,2251,2588.65,Ahafo Ano South,Ashanti,NA,No,2015,NA,598727.6058,756122.2894,6.839720698,-2.1064782
Adadiemtem,YES,NA,608,699.2,Ejisu-Juaben Municipal,Ashanti,FEEDER ROAD,No,NA,NA,673158.4354,741723.3543,6.707794807,-1.433406099
Adadientem(new Town),YES,NA,119,136.85,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,673263.1188,742831.8183,6.71781525,-1.432427179
Adadientem(old Town),YES,NA,634,729.1,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,673145.0453,742069.5684,6.710925894,-1.433517205
Adagya,YES,NA,1824,2097.6,Kumasi Metropolitan,Ashanti,NA,No,NA,NA,657503.753,732245.7131,6.622517699,-1.575252899
Adamanu,YES,NA,0,0,Kumasi Metropolitan,Ashanti,FEEDER ROAD,No,NA,NA,649501.3935,742116.856,6.711990207,-1.647381799
Adankragya,YES,NA,1665,1914.75,Bekwai Municipal,Ashanti,NA,No,NA,NA,655534.9648,713015.8554,6.448665299,-1.593544499
Adankwame,YES,NA,6034,6939.1,Atwima Nwabiagya,Ashanti,NA,No,NA,NA,642285.9106,751616.8709,6.798081785,-1.712425396
Adankwame (Amadum),YES,NA,1826,2099.9,Atwima Nwabiagya,Ashanti,NA,No,NA,NA,633165.5502,748038.5331,6.765931599,-1.795025
Adansekrom,YES,NA,469,539.35,Amansie Central,Ashanti,NA,No,NA,NA,628757.9233,682404.2326,6.172413799,-1.836261699
Adansi,YES,NA,1330,1529.5,Asante Akim South,Ashanti,NA,No,NA,NA,719822.5687,730601.5757,6.605717798,-1.011786998
Adansi Anhwiaso,YES,NA,4439,5104.85,Adansi North,Ashanti,NA,No,NA,NA,669064.2445,679497.3354,6.145205899,-1.472118198
Adansi Praso,YES,NA,3474,3995.1,Adansi South,Ashanti,NA,No,NA,NA,680655.9529,656475.5099,5.9367189,-1.368012199
Adansi Swedru,YES,NA,371,426.65,Adansi South,Ashanti,NA,No,NA,NA,687422.4378,674655.9491,6.100928898,-1.306394699
Adanwomase,YES,NA,9076,10437.4,Kwabre,Ashanti,NA,No,NA,NA,668420.5765,753335.3107,6.812934798,-1.475930899
Adarko Jachie,YES,NA,1563,1797.45,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,664671.2099,743372.3681,6.722945998,-1.510128
Adeemmra,YES,NA,6221,7154.15,Kumasi Metropolitan,Ashanti,NA,No,NA,NA,651216.2003,736369.5062,6.659971082,-1.632014573
Adeemmra,YES,NA,5545,6376.75,Kumasi Metropolitan,Ashanti,NA,No,NA,NA,653100.9787,736777.3743,6.663612108,-1.614956844
Adeesena,YES,NA,723,831.45,Kwabre,Ashanti,NA,No,NA,NA,664298.9311,747941.0375,6.764270698,-1.5133695
