Name.1,Community,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,X-Coord,Y-Coord,lon,lat
NORTHERN,Dasukope,NO,NA,366,420.9,Kpandai,Northern,NA,No,NA,NA,774710.9041,909117.4549,8.216774654,-0.50656725
NORTHERN,Jagando,NO,NA,372,427.8,Mion,Northern,NA,No,NA,NA,818826.6402,1049009.535,9.477812496,-9.66E-02
NORTHERN,Jagatinli,NO,NA,191,219.65,Gushiegu,Northern,NA,No,NA,NA,821767.3669,1123047.579,10.1463568,-6.39E-02
NORTHERN,Jagbading,NO,NA,132,151.8,Mion,Northern,NA,No,NA,NA,772356.5383,1037554.959,9.377556163,-0.520206743
NORTHERN,Jagbado,NO,NA,216,248.4,Tatale Sangule,Northern,NA,No,NA,NA,869288.338,1045724.465,9.444044294,0.362157104
NORTHERN,Dissy Kope,NO,NA,84,96.6,Kpandai,Northern,NA,No,NA,NA,806538.8829,927478.6758,8.380769131,-0.216731164
NORTHERN,Jagoya,NO,NA,461,530.15,Yendi Municipal,Northern,NA,No,NA,NA,833881.9295,1011599.713,9.138759397,3.75E-02
NORTHERN,Jagrido,NO,NA,392,450.8,Saboba,Northern,NA,No,NA,NA,837708.828,1092201.487,9.866439599,7.88E-02
NORTHERN,Jagrido,NO,NA,206,236.9,Saboba,Northern,NA,No,NA,NA,854103.4359,1094283.638,9.8838442,0.228243304
NORTHERN,Jagrido(Najador),NO,NA,353,405.95,Tatale Sangule,Northern,NA,No,NA,NA,881154.5709,1007462.653,9.097556493,0.466662805
NORTHERN,Jajel,NO,NA,148,170.2,Saboba,Northern,NA,No,NA,NA,841647.3478,1070334.412,9.668622584,0.112788964
NORTHERN,Dangbenayili (Dangbe),NO,NA,632,726.8,Nanumba North,Northern,NA,No,NA,NA,835181.3837,979776.3613,8.851224951,4.69E-02
NORTHERN,Jakpeli,NO,NA,110,126.5,Saboba,Northern,NA,No,NA,NA,852581.4024,1050801.813,9.491317098,0.210644604
NORTHERN,Jakponkpodo,NO,NA,323,371.45,Yendi Municipal,Northern,NA,No,NA,NA,842705.6593,1043612.581,9.427202001,0.120222304
NORTHERN,Jakpum,NO,NA,186,213.9,Saboba,Northern,NA,No,NA,NA,856910.2907,1066706.361,9.634573899,0.251385804
